0   49000
1   48804
2   48570.7
3   48293.5
4   47964.5
5   47575
6   47114.9
7   46573
8   45937
9   45193.4
10   44328.1
11   43326.8
12   42175.6
13   40861.8
14   39375.6
15   37710.7
16   35866.7
17   33850.1
18   31675.7
19   29367.5
20   26958.5
21   24489.6
22   22007.1
23   19560
24   17195.8
25   14956.7
26   12877.2
27   10981.5
28   9283.21
29   7785.94
30   6484.78
31   5368.4
32   4421.17
33   3625.09
34   2961.47
35   2412.01
36   1959.65
37   1588.94
38   1286.31
39   1040
40   840.033
41   678.004
42   546.919
43   440.997
44   355.487
45   286.506
46   230.886
47   186.057
48   149.935
49   120.834
